twoE,goldbach_count,normalized_R,is_power_of_two
1024,22,1.032223,True
2048,25,0.709653,True
4096,53,0.895219,True
8192,76,0.753288,True
10000,127,1.077346,False
10066,119,1.004296,False
10132,101,0.848034,False
10198,105,0.877148,False
10266,216,1.795048,False
10334,97,0.801950,False
10402,125,1.028143,False
10470,274,2.242208,False
10540,153,1.245512,False
10610,137,1.109488,False
10680,271,2.183391,False
10750,141,1.130201,False
10822,126,1.004691,False
10892,131,1.039287,False
10964,112,0.883968,False
11036,109,0.855881,False
11110,159,1.241952,False
11184,209,1.624014,False
11258,118,0.912169,False
11332,110,0.845962,False
11406,222,1.698594,False
11482,112,0.852487,False
11558,110,0.832933,False
11634,264,1.988763,False
11710,147,1.101723,False
11788,129,0.961783,False
11866,116,0.860383,False
11944,116,0.855959,False
12024,227,1.666246,False
12102,215,1.570150,False
12182,112,0.813706,False
12264,281,2.030774,False
12344,115,0.826854,False
12426,247,1.766701,False
12508,128,0.910805,False
12590,149,1.054788,False
12674,116,0.816884,False
12758,121,0.847669,False
12842,116,0.808447,False
12926,129,0.894437,False
13012,124,0.855284,False
13098,251,1.722285,False
13184,121,0.825988,False
13272,296,2.010018,False
13358,120,0.810728,False
13448,130,0.873645,False
13536,258,1.724941,False
13626,248,1.649427,False
13716,253,1.673953,False
13806,283,1.862794,False
13898,125,0.818482,False
13990,173,1.126886,False
14082,253,1.639473,False
14174,132,0.850984,False
14268,267,1.712334,False
14362,138,0.880441,False
14458,135,0.856774,False
14552,139,0.877648,False
14648,120,0.753749,False
14746,142,0.887241,False
14844,279,1.734122,False
14942,137,0.847097,False
15040,181,1.113378,False
15140,174,1.064715,False
15240,362,2.203574,False
15340,210,1.271708,False
15442,157,0.945773,False
15544,147,0.880923,False
15646,144,0.858481,False
15750,421,2.496715,False
15854,138,0.814140,False
15958,142,0.833404,False
16064,152,0.887421,False
16170,517,3.002686,False
16276,158,0.912902,False
16384,151,0.867889,True
16492,197,1.126387,False
16600,198,1.126252,False
16710,401,2.269011,False
16820,189,1.063875,False
16932,316,1.769398,False
17044,152,0.846656,False
17156,148,0.820095,False
17270,216,1.190610,False
17384,159,0.871849,False
17498,154,0.840054,False
17614,166,0.900767,False
17730,411,2.218597,False
17848,166,0.891359,False
17966,176,0.940112,False
18084,351,1.865140,False
18204,339,1.791915,False
18324,315,1.656367,False
18446,179,0.936276,False
18566,150,0.780547,False
18690,520,2.691587,False
18814,160,0.823829,False
18938,167,0.855382,False
19062,307,1.564311,False
19188,362,1.834900,False
19316,178,0.897474,False
19442,164,0.822610,False
19572,408,2.035644,False
19700,213,1.057215,False
19830,430,2.123113,False
19962,329,1.615851,False
20014,174,0.852811,False
20094,356,1.739286,False
20226,337,1.637877,False
20360,220,1.063615,False
20494,180,0.865684,False
20630,227,1.085972,False
20766,359,1.708473,False
20902,221,1.046263,False
21042,440,2.071977,False
21180,481,2.253246,False
21320,248,1.155655,False
21460,255,1.182074,False
21602,221,1.019076,False
21746,182,0.834792,False
21888,391,1.784115,False
22034,184,0.835130,False
22178,191,0.862395,False
22326,370,1.661741,False
22472,189,0.844418,False
22622,175,0.777716,False
22770,580,2.564152,False
22922,180,0.791543,False
23072,237,1.036769,False
23226,452,1.966789,False
23378,190,0.822438,False
23532,390,1.679305,False
23688,476,2.038790,False
23844,386,1.644629,False
24002,215,0.911213,False
24160,260,1.096150,False
24320,286,1.199400,False
24482,199,0.830115,False
24642,412,1.709674,False
24806,204,0.842044,False
24970,288,1.182499,False
25134,416,1.699105,False
25300,314,1.275738,False
25468,206,0.832514,False
25636,251,1.009033,False
25806,505,2.019380,False
25976,213,0.847259,False
26148,411,1.626207,False
26320,326,1.283110,False
26494,227,0.888736,False
26668,211,0.821759,False
26844,417,1.615480,False
27022,230,0.886310,False
27200,297,1.138470,False
27380,292,1.113383,False
27562,228,0.864733,False
27744,457,1.724107,False
27926,207,0.776844,False
28112,260,0.970547,False
28296,445,1.652430,False
28484,224,0.827363,False
28672,276,1.014044,False
28862,222,0.811318,False
29052,452,1.643167,False
29244,439,1.587463,False
29436,499,1.794941,False
29632,224,0.801448,False
29828,223,0.793643,False
30024,470,1.663894,False
30222,496,1.746661,False
30422,293,1.026325,False
30622,239,0.832762,False
30826,225,0.779794,False
31028,226,0.779144,False
31234,310,1.063048,False
31440,638,2.176249,False
31648,265,0.899131,False
31856,258,0.870764,False
32068,254,0.852687,False
32280,638,2.130425,False
32492,240,0.797189,False
32706,521,1.721415,False
32768,244,0.804958,True
32922,519,1.705714,False
33140,329,1.075522,False
33360,669,2.175344,False
33580,352,1.138513,False
33802,271,0.871870,False
34024,277,0.886471,False
34250,331,1.053631,False
34476,597,1.890277,False
34704,515,1.621972,False
34932,555,1.738718,False
35164,275,0.856926,False
35396,260,0.805886,False
35630,415,1.279479,False
35864,255,0.782032,False
36102,600,1.830251,False
36340,375,1.137839,False
36580,394,1.189135,False
36822,614,1.843252,False
37066,291,0.868933,False
37310,482,1.431635,False
37556,294,0.868602,False
37804,316,0.928634,False
38054,286,0.835996,False
38306,296,0.860610,False
38558,307,0.887861,False
38814,563,1.619516,False
39070,388,1.110181,False
39328,281,0.799743,False
39588,558,1.579638,False
39850,378,1.064367,False
40112,293,0.820651,False
40378,301,0.838549,False
40644,576,1.596137,False
40912,300,0.826899,False
41182,305,0.836204,False
41454,736,2.007100,False
41728,298,0.808322,False
42004,306,0.825590,False
42282,635,1.704080,False
42560,516,1.377381,False
42842,305,0.809793,False
43124,309,0.816052,False
43410,814,2.138211,False
43696,313,0.817810,False
43986,622,1.616455,False
44276,311,0.803921,False
44568,630,1.619840,False
44862,637,1.629104,False
45158,314,0.798760,False
45458,391,0.989291,False
45758,320,0.805329,False
46060,526,1.316692,False
46364,334,0.831611,False
46670,462,1.144169,False
46978,326,0.803046,False
47288,335,0.820809,False
47602,329,0.801776,False
47916,751,1.820420,False
48232,338,0.814936,False
48550,452,1.083977,False
48872,337,0.803846,False
49194,680,1.613347,False
49520,463,1.092603,False
49846,354,0.830925,False
50176,429,1.001567,False
50506,353,0.819741,False
50840,478,1.104067,False
51176,355,0.815573,False
51514,378,0.863763,False
51854,407,0.925053,False
52198,354,0.800263,False
52542,871,1.958485,False
52890,1030,2.303561,False
53238,765,1.701764,False
53590,511,1.130635,False
53944,398,0.875892,False
54300,998,2.184567,False
54660,1013,2.205468,False
55020,1213,2.626780,False
55384,484,1.042483,False
55750,489,1.047600,False
56118,775,1.651406,False
56488,424,0.898640,False
56862,843,1.777073,False
57236,396,0.830321,False
57616,422,0.880063,False
57996,794,1.646977,False
58378,418,0.862406,False
58764,802,1.645771,False
59152,399,0.814386,False
59544,791,1.605784,False
59936,416,0.839987,False
60332,405,0.813381,False
60730,544,1.086678,False
61132,457,0.907973,False
61536,818,1.616473,False
61942,415,0.815690,False
62352,812,1.587403,False
62764,478,0.929430,False
63178,431,0.833542,False
63596,468,0.900223,False
64016,418,0.799722,False
64438,490,0.932439,False
64864,432,0.817642,False
65292,861,1.620846,False
65536,435,0.816395,True
65724,862,1.613981,False
66158,432,0.804511,False
66594,969,1.794870,False
67034,493,0.908262,False
67478,422,0.773259,False
67922,435,0.792804,False
68372,432,0.783083,False
68824,540,0.973577,False
69278,494,0.885851,False
69736,468,0.834701,False
70196,571,1.012926,False
70660,608,1.072746,False
71126,529,0.928336,False
71596,557,0.972202,False
72070,621,1.078052,False
72546,943,1.628215,False
73024,574,0.985756,False
73506,935,1.597063,False
73992,933,1.585042,False
74482,476,0.804286,False
74972,488,0.820131,False
75468,1032,1.725002,False
75966,1071,1.780539,False
76468,588,0.972272,False
